Harga Sewa;Lokasi;Kamar Tidur;Kamar Mandi;Luas Tanah;Luas Bangunan;Carport;Sertifikat;Daya Listrik;Kamar Tidur Pembantu;Kamar Mandi Pembantu;Garasi;Jumlah Lantai;Kondisi Properti
15000000;Bojonegoro, Bojonegoro;2.0;3.0;135;100;1;HGB;Lainnya;0;0;1;1;Bagus
3;BSD City, Tangerang;1.0;1.0;36;30;0;HGB;Lainnya;0;0;0;1;Sudah Renovasi
210000000;Lebak Bulus, Jakarta Selatan;5.0;3.0;215;90;2;SHM;;0;0;0;;
55000000;Pamulang, Tangerang Selatan;4.0;3.0;150;250;0;SHM;Lainnya;0;0;0;;
180000000;Bintaro, Tangerang Selatan;7.0;4.0;450;300;0;SHM;5500;0;0;0;;
320000000;Kemang, Jakarta Selatan;3.0;2.0;279;300;1;SHM;;;;;;
40000000;Gading Serpong, Tangerang;4.0;3.0;97;88;0;Lainnya;Lainnya;0;0;0;2;Bagus
55000000;Pantai Indah Kapuk 2, Jakarta Utara;2.0;1.0;60;115;2;SHM;;;;0;;
4000000;Sentul City, Bogor;3.0;3.0;345;300;2;SHM;Lainnya;0;0;2;2;Sudah Renovasi
110000000;Daan Mogot, Jakarta Barat;4.0;4.0;200;350;0;SHM;5500;;;0;;
95000000;BSD Castilla, Tangerang;3.0;2.0;144;120;2;SHM;;0;0;0;;
38000000;Pamulang, Tangerang Selatan;3.0;2.0;90;130;0;SHM;Lainnya;0;0;0;2;Bagus
650000000;Kemang, Jakarta Selatan;4.0;4.0;890;500;2;SHM;Lainnya;1;2;4;2;Bagus
1000000000;Kemang, Jakarta Selatan;6.0;4.0;1065;900;2;SHM;Lainnya;1;1;2;2;Bagus
150000000;Menteng, Jakarta Pusat;5.0;5.0;1000;700;8;SHM;22000;2;2;2;1;Bagus
350000000;Pondok Indah, Jakarta Selatan;3.0;2.0;289;200;0;SHM;Lainnya;1;1;2;1;Bagus
285000000;Pondok Indah, Jakarta Selatan;3.0;3.0;120;200;1;SHM;6600;1;1;1;2;Bagus
300000000;Kemang, Jakarta Selatan;4.0;4.0;144;312;1;SHM;5500;2;1;2;3;Bagus
250000000;Dharma Husada, Surabaya;6.0;3.0;600;487;1;SHM;;;;0;;
8000000;Bukit, Badung;2.0;1.0;100;70;1;SHM;;0;0;;;
50000000;Taman Kopo Indah, Bandung;4.0;2.0;144;200;1;SHM;2200;0;0;1;2;Bagus
55000000;Taman Kopo Indah, Bandung;3.0;2.0;102;132;1;SHM;2200;1;1;0;2;Bagus
300000000;Senopati, Jakarta Selatan;3.0;2.0;300;250;1;SHM;;0;0;;;
69000000;Dago, Bandung;3.0;3.0;122;150;1;SHM;;0;0;;;
92000000;Kebayoran Baru, Jakarta Selatan;5.0;4.0;700;700;2;SHM;23000;2;1;2;2;Bagus
55000000;BSD, Tangerang;3.0;2.0;119;100;1;PPJB;2200;1;1;0;2;Bagus
325000000;Cipete, Jakarta Selatan;4.0;3.0;392;350;1;SHM;Lainnya;1;1;2;2;Bagus
47000000;BSD, Tangerang;3.0;2.0;77;70;1;PPJB;2200;0;0;0;2;Bagus
600000000;Permata Hijau, Jakarta Selatan;4.0;5.0;460;600;0;Lainnya;Lainnya;0;0;0;2;Bagus
45000000;Gading Serpong, Tangerang;3.0;2.0;50;60;1;PPJB;Lainnya;0;0;0;2;Bagus
40000000;Pontianak Tenggara, Pontianak;3.0;2.0;200;100;2;SHM;1300;0;0;1;1;Lainnya
700000000;Menteng, Jakarta Pusat;4.0;;350;400;2;Lainnya;Lainnya;0;0;0;2;Lainnya
380000000;Kemang, Jakarta Selatan;5.0;3.0;320;420;2;SHM;7700;1;2;2;2;Bagus
185000000;Kebayoran Baru, Jakarta Selatan;4.0;4.0;260;200;2;SHM;5500;0;0;1;1;Bagus
50000000;Surabaya Kota, Surabaya;;;120;70;0;HGB;Lainnya;0;0;0;1;Bagus
75000000;Kelapa Gading, Jakarta Utara;4.0;3.0;102;102;0;SHM;Lainnya;0;0;0;2;Bagus
8000000;Kesiman, Denpasar;1.0;1.0;45;32;1;Hak Sewa;;0;0;0;;Baru
700000000;Pondok Indah, Jakarta Selatan;4.0;4.0;416;800;2;SHM;33000;1;1;2;2;Bagus
449000000;Cilandak, Jakarta Selatan;5.0;4.0;600;400;2;SHM;;;;;;
780000000;Pondok Indah, Jakarta Selatan;4.0;4.0;800;550;0;SHM;23000;1;2;2;2;Bagus
1000000000;Kebayoran Baru, Jakarta Selatan;10.0;6.0;1000;1000;10;SHM;;;;0;;
45000000;Sumber, Cirebon;3.0;2.0;135;120;1;SHM;2200;0;0;0;1;Bagus
500000000;Prigen, Pasuruan;3.0;2.0;11000;800;10;SHM;4400;1;1;0;1;Butuh Renovasi
320000000;Kemang, Jakarta Selatan;4.0;3.0;180;280;0;SHM;Lainnya;1;1;1;2;Bagus
891000000;Cipete, Jakarta Selatan;4.0;4.0;454;525;2;SHM;Lainnya;0;0;2;2;Bagus
951000000;Pejaten, Jakarta Selatan;5.0;5.0;400;550;2;SHM;;0;0;;;
750000000;Cipete, Jakarta Selatan;4.0;4.0;410;430;2;SHM;Lainnya;0;0;2;2;Bagus
95000000;Cigadung, Bandung;3.0;2.0;109;218;1;SHM;;0;0;;;
90000000;Sentul City, Bogor;3.0;2.0;300;185;1;SHM;2200;1;0;1;2;Sudah Renovasi
65000000;Gading Serpong, Tangerang;3.0;2.0;78;65;1;PPJB;Lainnya;0;0;0;2;Bagus
150000000;Harjamukti, Cirebon;6.0;5.0;220;300;2;SHM;5500;1;1;0;2;Bagus
110000000;Garuda, Bandung;3.0;3.0;365;400;2;SHM;7700;1;1;2;2;Renovasi Minimum
300000000;Kebayoran Baru, Jakarta Selatan;3.0;3.0;300;250;1;SHM;;;;;;
115000000;Kerobokan, Badung;2.0;2.0;150;150;0;SHM;Lainnya;0;0;0;;
42000000;Bekasi Timur, Bekasi;4.0;2.0;112;100;2;SHM;2200;0;0;0;2;Bagus
130000000;Dieng, Malang;3.0;2.0;347;200;0;SHM;2200;0;0;0;1;Bagus
85000000;Gading Serpong, Tangerang;4.0;3.0;144;146;1;Lainnya;2200;1;1;0;2;Bagus
55000000;BSD, Tangerang;3.0;2.0;144;88;1;PPJB;Lainnya;1;1;0;2;Bagus
55000000;Lippo Karawaci, Tangerang;3.0;2.0;80;82;1;SHM;;0;0;0;;
48000000;Green Lake City, Jakarta Barat;2.0;2.0;60;87;1;SHM;4400;1;0;1;1;Bagus
28000000;Kedamean, Gresik;4.0;3.0;105;127;0;SHM;Lainnya;1;1;0;2;Bagus
550000000;Pluit, Jakarta Utara;5.0;4.0;720;713;2;SHM;22000;1;2;2;2;Bagus
70000000;Antapani, Bandung;3.0;4.0;134;130;1;SHM;3500;1;0;0;1;Bagus
65000000;Singgasana, Bandung;3.0;2.0;162;180;0;SHM;2200;1;1;0;1;Bagus
90000000;Gading Serpong, Tangerang;3.0;2.0;212;120;1;SHM;Lainnya;0;0;1;2;Bagus
1000000000;Menteng, Jakarta Pusat;;;917;200;0;SHM;Lainnya;0;0;0;1;Lainnya
970000000;Menteng, Jakarta Pusat;4.0;4.0;480;600;0;Lainnya;Lainnya;0;0;0;1;Lainnya
130000000;Kayu Putih, Jakarta Timur;3.0;3.0;500;200;2;SHM;Lainnya;0;0;2;2;Bagus
770000000;Pondok Indah, Jakarta Selatan;4.0;4.0;450;400;2;SHM;22000;1;2;2;2;Bagus
65000000;Gading Serpong, Tangerang;3.0;2.0;126;106;1;SHM;2200;1;1;1;2;Bagus
42000000;Gading Serpong, Tangerang;3.0;2.0;72;72;1;PPJB;Lainnya;0;0;0;2;Bagus
68000000;Kemang, Jakarta Selatan;4.0;4.0;430;700;4;SHM;23000;3;2;2;3;Bagus
60000000;BSD, Tangerang;3.0;3.0;128;150;2;PPJB;2200;1;1;0;2;Bagus
65000000;BSD, Tangerang;3.0;2.0;84;84;1;PPJB;2200;0;0;0;2;Bagus
80000000;Jatisampurna, Bekasi;4.0;5.0;205;157;2;SHM;2200;0;0;0;2;Bagus
600000000;Kemang, Jakarta Selatan;6.0;6.0;668;800;2;SHM;10000;2;1;2;2;Bagus
72000000;BSD, Tangerang;3.0;2.0;66;86;1;Lainnya;Lainnya;0;0;0;2;Bagus
290000000;BSD City, Tangerang;5.0;5.0;286;337;2;Lainnya;11000;1;1;2;3;Baru
80000000;Cibeureum, Bandung;;2.0;200;200;0;SHM;Lainnya;0;0;0;2;Bagus
1000000000;Menteng, Jakarta Pusat;8.0;4.0;360;500;4;SHM;Lainnya;0;0;1;4;Sudah Renovasi
275000000;Kebayoran Baru, Jakarta Selatan;4.0;3.0;218;200;1;SHM;13300;1;1;0;2;Bagus
5000000;Mulyaharja, Bogor;2.0;1.0;73;45;1;SHM;Lainnya;0;0;0;1;Bagus
95000000;Tubagus Ismail, Bandung;4.0;3.0;260;130;0;SHM;Lainnya;0;0;0;2;Lainnya
110000000;Setra Duta, Bandung;4.0;2.0;220;220;0;SHM;3500;1;1;2;2;Bagus
325000000;Terogong, Jakarta Selatan;5.0;5.0;366;400;3;SHM;Lainnya;0;0;2;3;Bagus
80000000;BSD Foresta, Tangerang;2.0;2.0;144;100;1;SHM;;;;;;
52000000;Pademangan, Jakarta Utara;2.0;1.0;50;90;0;SHM;Lainnya;0;0;0;2;Bagus
125000000;Lebak Bulus, Jakarta Selatan;5.0;3.0;145;175;2;SHM;Lainnya;0;0;0;2;Bagus
185000000;Mampang Prapatan, Jakarta Selatan;4.0;3.0;254;200;1;SHM;Lainnya;0;0;1;1;Bagus
250000000;Sanur, Denpasar;2.0;3.0;130;150;1;SHM;;0;0;0;;
130000000;Metland Puri, Jakarta Barat;3.0;3.0;144;160;3;SHM;Lainnya;0;0;0;2;Bagus
120000000;Jimbaran, Badung;2;2;160;200;0;SHM;3500;0;0;0;;
80000000;Wiyung, Surabaya;4;4;130;128;1;SHM;Lainnya;0;0;0;2;Bagus
155000000;Jimbaran, Badung;4;3;110;160;2;SHM;;;;0;;
65000000;Sunter, Jakarta Utara;3;2;150;120;0;SHM;Lainnya;0;0;0;2;Lainnya
75000000;Kelapa Gading, Jakarta Utara;4;3;120;175;0;SHM;Lainnya;0;0;0;2;Lainnya
